2005-06-21,109 ,896.166,1277478400,6890936652,
2005-06-22,110 ,900.646,1047813400,5882401451,
2005-06-23,111 ,893.572,950930800,5465028353,
2005-06-24,112 ,898.301,891873900,4732186046,
2005-06-27,113 ,916.043,1654540200,8903493734,
2005-06-28,114 ,903.716,1040221900,5536098456,
2005-06-29,115 ,898.898,1080674600,5751998008,
2005-06-30,116 ,878.686,1085547200,5597946269,
2005-07-01,117 ,859.494,1009459700,5086726820,
2005-07-04,118 ,855.932,884027700,4026099534,
2005-07-05,119 ,849.679,799268800,4529674417,
2005-07-06,120 ,842.556,689831400,3627265630,
2005-07-07,121 ,844.729,596246500,2901826588,
2005-07-08,122 ,829.489,722100000,3447787083,
2005-07-11,123 ,824.097,843900600,4092653674,
2005-07-12,124 ,851.816,1498987100,7519245269,
2005-07-13,125 ,846.231,939884200,4674024437,
2005-07-14,126 ,849.59,936196800,4742557429,
2005-07-15,127 ,841.001,888956300,4203939701,
2005-07-18,128 ,832.995,850000600,3767754660,
2005-07-19,129 ,835.608,789181800,3622924794,
2005-07-20,130 ,842.641,852647300,3953440082,
2005-07-21,131 ,843.987,836610100,4118496717,
2005-07-22,132 ,859.693,2162514094,10199001746,
2005-07-25,133 ,856.86,1181608000,5762385031,
2005-07-26,134 ,876.48,2182677600,10513580671,
2005-07-27,135 ,894.012,2040953700,9688109273,
2005-07-28,136 ,890.885,2062252700,10326374188,
2005-07-29,137 ,888.164,1339740600,6409062024,
2005-08-01,138 ,891.607,1180830900,5451576867,
2005-08-02,139 ,903.598,1429254700,6441958706,
2005-08-03,140 ,909.57,2578629800,11911777040,
2005-08-04,141 ,904.15,1451925600,6682690057,
2005-08-05,142 ,923.803,1912376500,9585685726,
2005-08-08,143 ,927.471,2160894400,11135756693,
2005-08-09,144 ,933.089,1953290700,9704541246,
2005-08-10,145 ,940.37,2151576300,10214864206,
2005-08-11,146 ,953.992,2707366600,14042061872,
2005-08-12,147 ,938.316,2916814400,14457553256,
2005-08-15,148 ,954.502,2043081300,10503460782,
2005-08-16,149 ,945.058,2386181800,12606079730,
2005-08-17,150 ,953.012,2145776900,10910460911,
2005-08-18,151 ,920.671,3185532700,15916423709,
2005-08-19,152 ,923.038,2224267900,10881501177,
2005-08-22,153 ,931.673,1603101000,7745835021,
2005-08-23,154 ,923.414,1540648800,7508824639,
2005-08-24,155 ,930.651,1595974700,7736512283,
2005-08-25,156 ,930.118,1629205700,7604864624,
2005-08-26,157 ,928.258,1542980400,7186198527,
2005-08-29,158 ,917.371,1546226100,7137708170,
2005-08-30,159 ,914.88,1243817000,5858436210,
2005-08-31,160 ,927.916,1462363000,7034282250,
2005-09-01,161 ,944.559,2230638400,10558677965,
2005-09-02,162 ,947.871,1861443800,8864773608,
2005-09-05,163 ,952.717,1784331800,8242226133,
2005-09-06,164 ,936.61,2122225500,10583985179,
2005-09-07,165 ,952.758,1960846600,9956808193,
2005-09-08,166 ,955.282,2242439300,11753260243,
2005-09-09,167 ,949.065,1621931000,7924193974,
2005-09-12,168 ,949.506,1167261300,5610130326,
2005-09-13,169 ,963.774,1657943100,7999031246,
2005-09-14,170 ,970.193,1995829100,9942627972,
2005-09-15,171 ,969.598,1637767900,8098160518,
2005-09-16,172 ,967.495,1397857100,6989327513,
2005-09-19,173 ,971.136,1473742100,7427481654,
2005-09-20,174 ,961.919,1863660400,9189438331,
2005-09-21,175 ,944.408,1854189500,8760459022,
2005-09-22,176 ,923.274,1811552500,8625589892,
2005-09-23,177 ,916.154,1154764400,5549882042,
2005-09-26,178 ,918.485,883624100,4398425669,
2005-09-27,179 ,904.214,1108605600,5576097392,
2005-09-28,180 ,903.719,885031000,4331475905,
2005-09-29,181 ,915.975,1193897800,5798238295,
2005-09-30,182 ,917.392,900143300,4529466676,
2005-10-10,183 ,907.321,715845100,3665624376,
2005-10-11,184 ,919.72,775829500,4032539378,
2005-10-12,185 ,923.485,1220885200,6653231000,
2005-10-13,186 ,916.499,1082890400,6021814326,
2005-10-14,187 ,904.828,1012394000,5568049025,
2005-10-17,188 ,897.623,1055250600,5516482064,
2005-10-18,189 ,902.366,1136631700,5849997730,
2005-10-19,190 ,898.744,1103304800,5474099406,
2005-10-20,191 ,899.915,1260872500,6082545635,
2005-10-21,192 ,904.414,1136458800,5645096184,
2005-10-24,193 ,906.652,921898200,4674775354,
2005-10-25,194 ,894.272,1121340100,5687104900,
2005-10-26,195 ,875.82,1216712300,5911800808,
2005-10-27,196 ,875.849,1190858800,5881848405,
2005-10-28,197 ,867.729,1197337600,5565266453,
2005-10-31,198 ,876.282,1044365100,4954801462,
2005-11-01,199 ,872.865,1008274500,4762514458,
2005-11-02,200 ,882.478,1310497300,6115386842,
2005-11-03,201 ,874.575,1217918200,5843191842,
2005-11-04,202 ,878.361,956731000,4570236086,
2005-11-07,203 ,877.278,771325900,3758294613,
2005-11-08,204 ,881.524,1012876100,4617261094,
2005-11-09,205 ,879.252,1177440500,5544780425,
2005-11-10,206 ,862.968,1085377100,5071603818,
2005-11-11,207 ,864.79,921972000,4221479222,
2005-11-14,208 ,862.149,627167400,2924317719,
2005-11-15,209 ,856.635,825247800,4158739868,
2005-11-16,210 ,863.119,906613800,4185382359,
2005-11-17,211 ,862.658,881163700,4120494742,
2005-11-18,212 ,882.241,1759780300,8353934317,
2005-11-21,213 ,883.871,1025996300,4897254555,
